FamilyID	Mycoplasma_hyopneumoniae<1>	Mycoplasma_agalactiae<2>	Mycoplasma_arthritidis<3>	Mycoplasma_gallisepticum<4>	Mycoplasma_genitalium<5>	Mycoplasma_haemocanis<6>	<7>	<8>	<9>	<10>	<11>
OG0000013	0.0109716	0.00670569	0.609805	1.88862e-11	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000016	0.6386	0.609805	0.609805	1.33952e-05	0.664612	0.58459	N/A	0.530433	0.511771	0.543775	0.00023949
OG0000017	2.78559e-09	0.161308	0.161308	0.567108	0.567108	0.58459	N/A	0.530433	0.511771	0.543775	0.521651
OG0000018	0.6386	0.115529	0.00037505	0.00240519	0.099454	0.58459	N/A	0.530433	0.00591993	0.543775	0.521651
OG0000020	0.6386	9.32985e-07	0.684885	0.5	0.5	0.5	N/A	0.530433	0.00591993	0.065161	0.5
OG0000021	0.000246282	0.161308	0.161308	5.61977e-08	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000023	0.6386	9.11722e-05	0.161308	0.621025	0.069256	0.124927	N/A	0.530433	0.511771	0.543775	0.0109402
OG0000028	8.28275e-07	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000032	0.6386	0.609805	0.161308	0.069256	0.069256	0.124927	N/A	0.530433	0.511771	0.543775	0.0109402
OG0000033	0.6386	0.000781903	0.609805	0.567108	0.567108	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000048	0.6386	0.00670569	0.161308	0.00240519	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000064	0.6386	0.0575088	0.609805	0.0345946	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000129	0.6386	0.000781903	0.161308	0.099454	0.567108	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000131	0.6386	0.609805	0.0575088	0.0345946	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000339	0.6386	0.0575088	0.161308	0.099454	0.567108	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000359	0.6386	0.0575088	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000360	0.6386	0.0575088	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000361	0.6386	0.0575088	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000366	0.6386	0.00670569	0.161308	0.5	0.5	0.5	N/A	0.530433	0.511771	0.065161	0.5
OG0000367	0.6386	0.00670569	0.161308	0.5	0.5	0.5	N/A	0.530433	0.511771	0.065161	0.5
OG0000399	0.6386	0.161308	0.161308	0.567108	0.0345946	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000414	0.6386	0.161308	0.161308	0.0345946	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000503	0.6386	0.161308	0.161308	0.0345946	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000512	0.6386	0.161308	0.161308	0.099454	0.0345946	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000530	0.6386	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000613	0.6386	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000619	0.6386	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000625	0.6386	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000626	0.6386	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000633	0.6386	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000651	0.6386	0.161308	0.161308	0.567108	0.099454	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
OG0000657	0.6386	0.161308	0.161308	0.099454	0.567108	0.124927	N/A	0.530433	0.511771	0.543775	0.521651
