#FamilyID	Likelihood of Family
OG0000013	-37.6362
OG0000016	-19.1905
OG0000017	-23.7506
OG0000018	-21.3492
OG0000020	-21.5241
OG0000021	-32.9867
OG0000023	-19.8206
OG0000024	-10.9834
OG0000025	-6.99034
OG0000026	-7.13446
OG0000027	-8.79586
OG0000028	-22.8175
OG0000030	-6.09956
OG0000031	-6.33259
OG0000032	-12.8725
OG0000033	-10.2214
OG0000034	-5.36273
OG0000035	-9.56565
OG0000036	-6.33259
OG0000039	-4.21817
OG0000040	-4.00009
OG0000041	-4.21817
OG0000042	-4.00009
OG0000043	-4.21817
OG0000044	-8.58475
OG0000045	-7.60659
OG0000046	-3.72856
OG0000047	-4.21817
OG0000048	-17.8227
OG0000049	-3.72856
OG0000050	-4.00009
OG0000052	-4.00009
OG0000053	-7.54435
OG0000054	-3.72856
OG0000055	-7.60659
OG0000056	-8.36263
OG0000057	-4.21817
OG0000058	-4.00009
OG0000059	-4.21817
OG0000063	-1.60249
OG0000064	-11.1315
OG0000065	-1.60249
OG0000066	-1.60249
OG0000067	-1.60249
OG0000068	-1.60249
OG0000069	-1.60249
OG0000070	-1.60249
OG0000071	-1.60249
OG0000072	-1.60249
OG0000073	-1.60249
OG0000074	-1.60249
OG0000075	-1.60249
OG0000076	-1.60249
OG0000077	-1.60249
OG0000079	-1.60249
OG0000080	-1.60249
OG0000081	-1.60249
OG0000082	-1.60249
OG0000083	-1.60249
OG0000084	-1.60249
OG0000085	-1.60249
OG0000086	-1.60249
OG0000087	-1.60249
OG0000088	-1.60249
OG0000089	-1.60249
OG0000090	-1.60249
OG0000091	-1.60249
OG0000092	-1.60249
OG0000093	-1.60249
OG0000094	-1.60249
OG0000095	-1.60249
OG0000096	-6.11981
OG0000097	-1.60249
OG0000098	-1.60249
OG0000099	-1.60249
OG0000100	-1.60249
OG0000101	-1.60249
OG0000102	-5.96838
OG0000103	-1.60249
OG0000104	-1.60249
OG0000105	-1.60249
OG0000106	-1.60249
OG0000107	-1.60249
OG0000108	-1.60249
OG0000110	-6.76528
OG0000111	-1.60249
OG0000112	-1.60249
OG0000113	-1.60249
OG0000114	-1.60249
OG0000115	-1.60249
OG0000116	-1.60249
OG0000117	-5.74038
OG0000118	-1.60249
OG0000119	-1.60249
OG0000120	-1.60249
OG0000121	-1.60249
OG0000122	-1.60249
OG0000123	-1.60249
OG0000124	-1.60249
OG0000125	-1.60249
OG0000126	-1.60249
OG0000127	-1.60249
OG0000128	-1.60249
OG0000129	-14.6785
OG0000131	-11.1315
OG0000132	-1.60249
OG0000133	-1.60249
OG0000134	-1.60249
OG0000135	-1.60249
OG0000136	-1.60249
OG0000137	-1.60249
OG0000138	-1.60249
OG0000139	-1.60249
OG0000140	-1.60249
OG0000141	-1.60249
OG0000142	-1.60249
OG0000143	-1.60249
OG0000144	-1.60249
OG0000145	-1.60249
OG0000146	-1.60249
OG0000147	-1.60249
OG0000148	-1.60249
OG0000149	-1.60249
OG0000150	-1.60249
OG0000151	-1.60249
OG0000152	-1.60249
OG0000153	-1.60249
OG0000154	-1.60249
OG0000155	-1.60249
OG0000156	-1.60249
OG0000157	-1.60249
OG0000158	-1.60249
OG0000159	-1.60249
OG0000160	-1.60249
OG0000161	-1.60249
OG0000162	-1.60249
OG0000163	-1.60249
OG0000164	-1.60249
OG0000165	-1.60249
OG0000166	-1.60249
OG0000167	-1.60249
OG0000168	-1.60249
OG0000169	-1.60249
OG0000170	-1.60249
OG0000171	-1.60249
OG0000172	-1.60249
OG0000173	-1.60249
OG0000174	-1.60249
OG0000175	-1.60249
OG0000176	-1.60249
OG0000177	-1.60249
OG0000178	-1.60249
OG0000179	-1.60249
OG0000180	-1.60249
OG0000181	-1.60249
OG0000182	-1.60249
OG0000183	-1.60249
OG0000184	-1.60249
OG0000185	-1.60249
OG0000186	-1.60249
OG0000187	-1.60249
OG0000188	-1.60249
OG0000189	-1.60249
OG0000190	-1.60249
OG0000191	-1.60249
OG0000192	-1.60249
OG0000193	-1.60249
OG0000194	-1.60249
OG0000195	-1.60249
OG0000196	-1.60249
OG0000197	-1.60249
OG0000198	-1.60249
OG0000199	-1.60249
OG0000200	-1.60249
OG0000201	-1.60249
OG0000202	-1.60249
OG0000203	-1.60249
OG0000204	-1.60249
OG0000205	-1.60249
OG0000207	-1.60249
OG0000208	-1.60249
OG0000209	-1.60249
OG0000210	-1.60249
OG0000212	-1.60249
OG0000213	-1.60249
OG0000214	-1.60249
OG0000215	-1.60249
OG0000216	-1.60249
OG0000217	-1.60249
OG0000218	-1.60249
OG0000219	-1.60249
OG0000220	-1.60249
OG0000221	-1.60249
OG0000222	-1.60249
OG0000223	-1.60249
OG0000224	-1.60249
OG0000225	-1.60249
OG0000226	-1.60249
OG0000227	-1.60249
OG0000228	-1.60249
