FamilyID	Mycoplasma_hyopneumoniae<1>	Mycoplasma_agalactiae<2>	Mycoplasma_arthritidis<3>	Mycoplasma_gallisepticum<4>	Mycoplasma_genitalium<5>	Mycoplasma_haemocanis<6>	<7>	<8>	<9>	<10>	<11>
OG0000013	0.0106116	0.00647521	0.607993	1.59688e-11	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000016	0.636442	0.607993	0.607993	1.22585e-05	0.662256	0.583127	N/A	0.529857	0.511542	0.542963	0.000230283
OG0000017	2.35035e-09	0.158708	0.158708	0.565911	0.565911	0.583127	N/A	0.529857	0.511542	0.542963	0.521235
OG0000018	0.636442	0.113528	0.000350792	0.00231748	0.0977028	0.583127	N/A	0.529857	0.00580384	0.542963	0.521235
OG0000020	0.636442	8.27764e-07	0.682372	0.5	0.5	0.5	N/A	0.529857	0.00580384	0.063962	0.5
OG0000021	0.000230208	0.158708	0.158708	5.02531e-08	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000023	0.636442	8.49719e-05	0.158708	0.619091	0.067984	0.122802	N/A	0.529857	0.511542	0.542963	0.0107279
OG0000028	7.35573e-07	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000032	0.636442	0.607993	0.158708	0.067984	0.067984	0.122802	N/A	0.529857	0.511542	0.542963	0.0107279
OG0000033	0.636442	0.000741762	0.607993	0.565911	0.565911	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000048	0.636442	0.00647521	0.158708	0.00231748	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000064	0.636442	0.0565254	0.607993	0.0339609	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000129	0.636442	0.000741762	0.158708	0.0977028	0.565911	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000131	0.636442	0.607993	0.0565254	0.0339609	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000339	0.636442	0.0565254	0.158708	0.0977028	0.565911	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000359	0.636442	0.0565254	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000360	0.636442	0.0565254	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000361	0.636442	0.0565254	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000366	0.636442	0.00647521	0.158708	0.5	0.5	0.5	N/A	0.529857	0.511542	0.063962	0.5
OG0000367	0.636442	0.00647521	0.158708	0.5	0.5	0.5	N/A	0.529857	0.511542	0.063962	0.5
OG0000399	0.636442	0.158708	0.158708	0.565911	0.0339609	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000414	0.636442	0.158708	0.158708	0.0339609	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000503	0.636442	0.158708	0.158708	0.0339609	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000512	0.636442	0.158708	0.158708	0.0977028	0.0339609	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000530	0.636442	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000613	0.636442	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000619	0.636442	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000625	0.636442	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000626	0.636442	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000633	0.636442	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000651	0.636442	0.158708	0.158708	0.565911	0.0977028	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
OG0000657	0.636442	0.158708	0.158708	0.0977028	0.565911	0.122802	N/A	0.529857	0.511542	0.542963	0.521235
