FamilyID	Mycoplasma_hyopneumoniae<1>	Mycoplasma_agalactiae<2>	Mycoplasma_arthritidis<3>	Mycoplasma_gallisepticum<4>	Mycoplasma_genitalium<5>	Mycoplasma_haemocanis<6>	<7>	<8>	<9>	<10>	<11>
OG0000013	2	2	0	9	-1	-1	0	0	0	0	0
OG0000016	0	0	0	5	0	0	0	0	0	0	2
OG0000017	10	-1	-1	0	0	0	0	0	0	0	0
OG0000018	0	1	4	2	-1	0	0	0	1	0	0
OG0000020	0	7	0	0	0	0	0	0	1	-1	0
OG0000021	4	-1	-1	6	-1	-1	0	0	0	0	0
OG0000023	0	4	-1	0	1	-1	0	0	0	0	1
OG0000024	0	1	1	0	1	0	0	0	1	0	0
OG0000025	0	0	0	1	0	0	0	0	0	1	0
OG0000026	0	1	0	0	0	0	0	0	0	0	1
OG0000027	0	0	0	0	0	3	0	0	0	0	0
OG0000028	7	-1	-1	0	-1	-1	0	0	0	0	0
OG0000030	0	0	0	0	1	1	0	0	0	0	0
OG0000031	0	1	0	1	0	0	0	0	0	0	0
OG0000032	0	0	-1	1	1	-1	0	0	0	0	1
OG0000033	0	3	0	0	0	-1	0	0	0	0	0
OG0000034	0	1	1	0	0	0	0	0	0	0	0
OG0000035	0	0	1	0	0	-1	0	0	0	0	1
OG0000036	0	0	1	1	0	0	0	0	0	0	0
OG0000039	0	0	0	0	1	0	0	0	0	0	0
OG0000040	0	0	0	0	0	1	0	0	0	0	0
OG0000041	0	0	0	1	0	0	0	0	0	0	0
OG0000042	0	0	0	0	0	1	0	0	0	0	0
OG0000043	0	0	0	1	0	0	0	0	0	0	0
OG0000044	0	0	1	1	0	-1	0	0	0	0	0
OG0000045	0	1	1	0	0	-1	0	0	0	0	0
OG0000046	0	0	1	0	0	0	0	0	0	0	0
OG0000047	0	0	0	1	0	0	0	0	0	0	0
OG0000048	0	2	-1	2	-1	-1	0	0	0	0	0
OG0000049	0	0	1	0	0	0	0	0	0	0	0
OG0000050	0	0	0	0	0	1	0	0	0	0	0
OG0000052	0	0	0	0	0	1	0	0	0	0	0
OG0000053	0	0	0	0	0	-1	0	0	0	0	1
OG0000054	0	1	0	0	0	0	0	0	0	0	0
OG0000055	0	1	1	0	0	-1	0	0	0	0	0
OG0000056	1	0	0	0	1	-1	0	0	0	0	0
OG0000057	0	0	0	0	1	0	0	0	0	0	0
OG0000058	0	0	0	0	0	1	0	0	0	0	0
OG0000059	0	0	0	0	1	0	0	0	0	0	0
OG0000063	0	0	0	0	0	0	0	0	0	0	0
OG0000064	0	1	0	1	-1	-1	0	0	0	0	0
OG0000065	0	0	0	0	0	0	0	0	0	0	0
OG0000066	0	0	0	0	0	0	0	0	0	0	0
OG0000067	0	0	0	0	0	0	0	0	0	0	0
OG0000068	0	0	0	0	0	0	0	0	0	0	0
OG0000069	0	0	0	0	0	0	0	0	0	0	0
OG0000070	0	0	0	0	0	0	0	0	0	0	0
OG0000071	0	0	0	0	0	0	0	0	0	0	0
OG0000072	0	0	0	0	0	0	0	0	0	0	0
OG0000073	0	0	0	0	0	0	0	0	0	0	0
OG0000074	0	0	0	0	0	0	0	0	0	0	0
OG0000075	0	0	0	0	0	0	0	0	0	0	0
OG0000076	0	0	0	0	0	0	0	0	0	0	0
OG0000077	0	0	0	0	0	0	0	0	0	0	0
OG0000079	0	0	0	0	0	0	0	0	0	0	0
OG0000080	0	0	0	0	0	0	0	0	0	0	0
OG0000081	0	0	0	0	0	0	0	0	0	0	0
OG0000082	0	0	0	0	0	0	0	0	0	0	0
OG0000083	0	0	0	0	0	0	0	0	0	0	0
OG0000084	0	0	0	0	0	0	0	0	0	0	0
OG0000085	0	0	0	0	0	0	0	0	0	0	0
OG0000086	0	0	0	0	0	0	0	0	0	0	0
OG0000087	0	0	0	0	0	0	0	0	0	0	0
OG0000088	0	0	0	0	0	0	0	0	0	0	0
OG0000089	0	0	0	0	0	0	0	0	0	0	0
OG0000090	0	0	0	0	0	0	0	0	0	0	0
OG0000091	0	0	0	0	0	0	0	0	0	0	0
OG0000092	0	0	0	0	0	0	0	0	0	0	0
OG0000093	0	0	0	0	0	0	0	0	0	0	0
OG0000094	0	0	0	0	0	0	0	0	0	0	0
OG0000095	0	0	0	0	0	0	0	0	0	0	0
OG0000096	0	0	-1	1	0	0	0	0	0	0	0
OG0000097	0	0	0	0	0	0	0	0	0	0	0
OG0000098	0	0	0	0	0	0	0	0	0	0	0
OG0000099	0	0	0	0	0	0	0	0	0	0	0
OG0000100	0	0	0	0	0	0	0	0	0	0	0
OG0000101	0	0	0	0	0	0	0	0	0	0	0
OG0000102	0	1	0	0	0	-1	0	0	0	0	0
OG0000103	0	0	0	0	0	0	0	0	0	0	0
OG0000104	0	0	0	0	0	0	0	0	0	0	0
OG0000105	0	0	0	0	0	0	0	0	0	0	0
OG0000106	0	0	0	0	0	0	0	0	0	0	0
OG0000107	0	0	0	0	0	0	0	0	0	0	0
OG0000108	0	0	0	0	0	0	0	0	0	0	0
OG0000110	0	0	0	1	-1	0	0	0	0	0	0
OG0000111	0	0	0	0	0	0	0	0	0	0	0
OG0000112	0	0	0	0	0	0	0	0	0	0	0
OG0000113	0	0	0	0	0	0	0	0	0	0	0
