#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000013	0.638468	4.04189e-20	5.89369e-16	6.858e-05	N/S
OG0000013	0.967384	7.87586e-18	5.89369e-16	0.0133632	N/S
OG0000013	1.39415	5.81453e-16	5.89369e-16	0.986568	*
OG0000016	0.638468	1.05768e-10	8.91072e-09	0.0118697	N/S
OG0000016	0.967384	1.15582e-09	8.91072e-09	0.129711	N/S
OG0000016	1.39415	7.64914e-09	8.91072e-09	0.858419	N/S
OG0000017	0.638468	1.99371e-13	2.45663e-10	0.000811563	N/S
OG0000017	0.967384	1.00051e-11	2.45663e-10	0.040727	N/S
OG0000017	1.39415	2.35458e-10	2.45663e-10	0.958461	*
OG0000018	0.638468	6.99896e-12	1.374e-09	0.00509384	N/S
OG0000018	0.967384	1.25606e-10	1.374e-09	0.091416	N/S
OG0000018	1.39415	1.2414e-09	1.374e-09	0.90349	N/S
OG0000020	0.638468	4.27572e-12	1.4456e-09	0.00295774	N/S
OG0000020	0.967384	1.01418e-10	1.4456e-09	0.0701559	N/S
OG0000020	1.39415	1.33991e-09	1.4456e-09	0.926886	N/S
OG0000021	0.638468	5.65875e-18	5.70523e-14	9.91854e-05	N/S
OG0000021	0.967384	8.42391e-16	5.70523e-14	0.0147652	N/S
OG0000021	1.39415	5.62042e-14	5.70523e-14	0.985136	*
OG0000023	0.638468	3.58971e-11	6.06428e-09	0.00591942	N/S
OG0000023	0.967384	5.85393e-10	6.06428e-09	0.0965312	N/S
OG0000023	1.39415	5.44299e-09	6.06428e-09	0.897549	N/S
OG0000024	0.638468	1.71282e-06	1.72381e-05	0.0993627	N/S
OG0000024	0.967384	5.0133e-06	1.72381e-05	0.290827	N/S
OG0000024	1.39415	1.0512e-05	1.72381e-05	0.60981	N/S
OG0000025	0.638468	0.000238681	0.000846014	0.282124	N/S
OG0000025	0.967384	0.000302644	0.000846014	0.35773	N/S
OG0000025	1.39415	0.000304689	0.000846014	0.360146	N/S
OG0000026	0.638468	0.00017259	0.000728704	0.236845	N/S
OG0000026	0.967384	0.000256487	0.000728704	0.351977	N/S
OG0000026	1.39415	0.000299627	0.000728704	0.411178	N/S
OG0000027	0.638468	2.28842e-05	0.000141926	0.16124	N/S
OG0000027	0.967384	4.67599e-05	0.000141926	0.329466	N/S
OG0000027	1.39415	7.22823e-05	0.000141926	0.509294	N/S
OG0000028	0.638468	6.41783e-13	5.70695e-10	0.00112456	N/S
OG0000028	0.967384	2.59948e-11	5.70695e-10	0.0455494	N/S
OG0000028	1.39415	5.44058e-10	5.70695e-10	0.953326	*
OG0000030	0.638468	0.000550116	0.00205793	0.267316	N/S
OG0000030	0.967384	0.00073242	0.00205793	0.355902	N/S
OG0000030	1.39415	0.000775391	0.00205793	0.376782	N/S
OG0000031	0.638468	0.000416491	0.00163131	0.255311	N/S
OG0000031	0.967384	0.000576773	0.00163131	0.353565	N/S
OG0000031	1.39415	0.000638043	0.00163131	0.391124	N/S
OG0000032	0.638468	1.85012e-07	3.01316e-06	0.0614014	N/S
OG0000032	0.967384	7.26337e-07	3.01316e-06	0.241055	N/S
OG0000032	1.39415	2.10181e-06	3.01316e-06	0.697544	N/S
OG0000033	0.638468	3.47106e-06	3.7642e-05	0.0922124	N/S
OG0000033	0.967384	1.06719e-05	3.7642e-05	0.283509	N/S
OG0000033	1.39415	2.34991e-05	3.7642e-05	0.624279	N/S
OG0000034	0.638468	0.00142402	0.00443219	0.32129	N/S
OG0000034	0.967384	0.00156376	0.00443219	0.352818	N/S
OG0000034	1.39415	0.00144442	0.00443219	0.325892	N/S
OG0000035	0.638468	9.50146e-06	6.73677e-05	0.141039	N/S
OG0000035	0.967384	2.1362e-05	6.73677e-05	0.317095	N/S
OG0000035	1.39415	3.65043e-05	6.73677e-05	0.541866	N/S
OG0000036	0.638468	0.000416491	0.00163131	0.255311	N/S
OG0000036	0.967384	0.000576773	0.00163131	0.353565	N/S
OG0000036	1.39415	0.000638043	0.00163131	0.391124	N/S
OG0000039	0.638468	0.00534729	0.0143479	0.372687	N/S
OG0000039	0.967384	0.00501865	0.0143479	0.349782	N/S
OG0000039	1.39415	0.00398201	0.0143479	0.277532	N/S
OG0000040	0.638468	0.00675665	0.0178922	0.377631	N/S
OG0000040	0.967384	0.00625502	0.0178922	0.349594	N/S
OG0000040	1.39415	0.00488055	0.0178922	0.272775	N/S
OG0000041	0.638468	0.00534729	0.0143479	0.372687	N/S
OG0000041	0.967384	0.00501865	0.0143479	0.349782	N/S
OG0000041	1.39415	0.00398201	0.0143479	0.277532	N/S
OG0000042	0.638468	0.00675665	0.0178922	0.377631	N/S
OG0000042	0.967384	0.00625502	0.0178922	0.349594	N/S
OG0000042	1.39415	0.00488055	0.0178922	0.272775	N/S
OG0000043	0.638468	0.00534729	0.0143479	0.372687	N/S
OG0000043	0.967384	0.00501865	0.0143479	0.349782	N/S
OG0000043	1.39415	0.00398201	0.0143479	0.277532	N/S
OG0000044	0.638468	2.66855e-05	0.000177948	0.149963	N/S
OG0000044	0.967384	5.7312e-05	0.000177948	0.322072	N/S
OG0000044	1.39415	9.39502e-05	0.000177948	0.527965	N/S
OG0000045	0.638468	9.15773e-05	0.000463733	0.197478	N/S
OG0000045	0.967384	0.000156571	0.000463733	0.337632	N/S
OG0000045	1.39415	0.000215585	0.000463733	0.464889	N/S
OG0000046	0.638468	0.00898762	0.0235256	0.382035	N/S
OG0000046	0.967384	0.00822226	0.0235256	0.349502	N/S
OG0000046	1.39415	0.00631575	0.0235256	0.268463	N/S
OG0000047	0.638468	0.00534729	0.0143479	0.372687	N/S
OG0000047	0.967384	0.00501865	0.0143479	0.349782	N/S
OG0000047	1.39415	0.00398201	0.0143479	0.277532	N/S
OG0000048	0.638468	3.9815e-10	3.67515e-08	0.0108336	N/S
OG0000048	0.967384	4.50637e-09	3.67515e-08	0.122617	N/S
OG0000048	1.39415	3.1847e-08	3.67515e-08	0.866549	N/S
OG0000049	0.638468	0.00898762	0.0235256	0.382035	N/S
OG0000049	0.967384	0.00822226	0.0235256	0.349502	N/S
OG0000049	1.39415	0.00631575	0.0235256	0.268463	N/S
OG0000050	0.638468	0.00675665	0.0178922	0.377631	N/S
OG0000050	0.967384	0.00625502	0.0178922	0.349594	N/S
OG0000050	1.39415	0.00488055	0.0178922	0.272775	N/S
OG0000052	0.638468	0.00675665	0.0178922	0.377631	N/S
