FamilyID	Mycoplasma_hyopneumoniae<1>	Mycoplasma_agalactiae<2>	Mycoplasma_arthritidis<3>	Mycoplasma_gallisepticum<4>	Mycoplasma_genitalium<5>	Mycoplasma_haemocanis<6>	<7>	<8>	<9>	<10>	<11>
OG0000013	0.00793824	0.00478282	0.59345	3.76688e-12	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000016	0.618963	0.59345	0.59345	5.69395e-06	0.642901	0.571473	N/A	0.525333	0.50975	0.536571	0.00016457
OG0000017	5.38274e-10	0.5	0.5	0.556425	0.556425	0.571473	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000018	0.618963	0.0975922	0.000196161	0.00168288	0.0837928	0.571473	N/A	0.525333	0.0048986	0.536571	0.517981
OG0000020	0.618963	2.93184e-07	0.661581	0.5	0.5	0.5	N/A	0.525333	0.0048986	0.0545086	0.5
OG0000021	0.000128099	0.5	0.5	1.91935e-08	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000023	0.618963	4.6197e-05	0.137761	0.603486	0.0579499	0.105832	N/A	0.525333	0.50975	0.536571	0.00906962
OG0000027	0.618963	0.59345	0.59345	0.556425	0.556425	0.000203363	N/A	0.525333	0.50975	0.536571	0.517981
OG0000028	2.62587e-07	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000032	0.618963	0.59345	0.137761	0.642901	0.642901	0.105832	N/A	0.525333	0.50975	0.536571	0.00016457
OG0000033	0.618963	0.000470055	0.59345	0.556425	0.556425	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000044	0.618963	0.59345	0.0486653	0.0289585	0.556425	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000048	0.618963	0.00478282	0.137761	0.00168288	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000064	0.618963	0.0486653	0.59345	0.0289585	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000129	0.618963	0.000470055	0.137761	0.0837928	0.556425	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000131	0.618963	0.59345	0.0486653	0.0289585	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000254	0.618963	0.59345	0.0486653	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000297	0.618963	0.59345	0.0486653	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000298	0.618963	0.59345	0.0486653	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000299	0.618963	0.59345	0.0486653	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000320	0.618963	0.59345	0.0486653	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000339	0.618963	0.0486653	0.137761	0.0837928	0.556425	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000359	0.618963	0.0486653	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000360	0.618963	0.0486653	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000361	0.618963	0.0486653	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000366	0.618963	0.00478282	0.137761	0.5	0.5	0.5	N/A	0.525333	0.50975	0.0545086	0.5
OG0000367	0.618963	0.00478282	0.137761	0.5	0.5	0.5	N/A	0.525333	0.50975	0.0545086	0.5
OG0000399	0.618963	0.5	0.5	0.556425	0.0289585	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000414	0.618963	0.5	0.5	0.0289585	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000415	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000417	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000422	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000423	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000424	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000425	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000426	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000427	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000437	0.618963	0.0486653	0.137761	0.5	0.5	0.5	N/A	0.525333	0.50975	0.0545086	0.5
OG0000447	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000470	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000471	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000472	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000483	0.618963	0.59345	0.137761	0.556425	0.0837928	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000486	0.618963	0.137761	0.59345	0.0837928	0.556425	0.105832	N/A	0.525333	0.50975	0.536571	0.517981
OG0000503	0.618963	0.5	0.5	0.0289585	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000512	0.618963	0.5	0.5	0.0837928	0.0289585	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000530	0.618963	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000613	0.618963	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000619	0.618963	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000625	0.618963	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000626	0.618963	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000633	0.618963	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000651	0.618963	0.5	0.5	0.556425	0.0837928	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
OG0000657	0.618963	0.5	0.5	0.0837928	0.556425	0.105832	N/A	0.525333	0.0146012	0.536571	0.517981
