#FamilyID	Likelihood of Family
OG0000013	-38.6907
OG0000016	-20.1547
OG0000017	-25.3626
OG0000018	-21.9219
OG0000020	-22.8871
OG0000021	-34.192
OG0000023	-20.3519
OG0000024	-11.1525
OG0000025	-7.09865
OG0000026	-7.17926
OG0000027	-9.06185
OG0000028	-22.0201
OG0000030	-6.0027
OG0000031	-6.15852
OG0000032	-13.0447
OG0000033	-10.4837
OG0000034	-5.36895
OG0000035	-9.52935
OG0000036	-6.15852
OG0000039	-4.07133
OG0000040	-3.90829
OG0000041	-4.07133
OG0000042	-3.90829
OG0000043	-4.07133
OG0000044	-8.36192
OG0000045	-7.56717
OG0000046	-3.68973
OG0000047	-4.07133
OG0000048	-17.8462
OG0000049	-3.68973
OG0000050	-3.90829
OG0000052	-3.90829
OG0000053	-7.52615
OG0000054	-3.68973
OG0000055	-7.56717
OG0000056	-8.17138
OG0000057	-4.07133
OG0000058	-3.90829
OG0000059	-4.07133
OG0000063	-1.59487
OG0000064	-10.7877
OG0000065	-1.59487
OG0000066	-1.59487
OG0000067	-1.59487
OG0000068	-1.59487
OG0000069	-1.59487
OG0000070	-1.59487
OG0000071	-1.59487
OG0000072	-1.59487
OG0000073	-1.59487
OG0000074	-1.59487
OG0000075	-1.59487
OG0000076	-1.59487
OG0000077	-1.59487
OG0000079	-1.59487
OG0000080	-1.59487
OG0000081	-1.59487
OG0000082	-1.59487
OG0000083	-1.59487
OG0000084	-1.59487
OG0000085	-1.59487
OG0000086	-1.59487
OG0000087	-1.59487
OG0000088	-1.59487
OG0000089	-1.59487
OG0000090	-1.59487
OG0000091	-1.59487
OG0000092	-1.59487
OG0000093	-1.59487
OG0000094	-1.59487
OG0000095	-1.59487
OG0000096	-5.99307
OG0000097	-1.59487
OG0000098	-1.59487
OG0000099	-1.59487
OG0000100	-1.59487
OG0000101	-1.59487
OG0000102	-5.88504
OG0000103	-1.59487
OG0000104	-1.59487
OG0000105	-1.59487
OG0000106	-1.59487
OG0000107	-1.59487
OG0000108	-1.59487
OG0000110	-6.49719
OG0000111	-1.59487
OG0000112	-1.59487
OG0000113	-1.59487
OG0000114	-1.59487
OG0000115	-1.59487
OG0000116	-1.59487
OG0000117	-5.6904
OG0000118	-1.59487
OG0000119	-1.59487
OG0000120	-1.59487
OG0000121	-1.59487
OG0000122	-1.59487
OG0000123	-1.59487
OG0000124	-1.59487
OG0000125	-1.59487
OG0000126	-1.59487
OG0000127	-1.59487
OG0000128	-1.59487
OG0000129	-14.7013
OG0000131	-10.7877
OG0000132	-1.59487
OG0000133	-1.59487
OG0000134	-1.59487
OG0000135	-1.59487
OG0000136	-1.59487
OG0000137	-1.59487
OG0000138	-1.59487
OG0000139	-1.59487
OG0000140	-1.59487
OG0000141	-1.59487
OG0000142	-1.59487
OG0000143	-1.59487
OG0000144	-1.59487
OG0000145	-1.59487
OG0000146	-1.59487
OG0000147	-1.59487
OG0000148	-1.59487
OG0000149	-1.59487
OG0000150	-1.59487
OG0000151	-1.59487
OG0000152	-1.59487
OG0000153	-1.59487
OG0000154	-1.59487
OG0000155	-1.59487
