Desc	Family ID	Mycoplasma_agalactiae	Mycoplasma_arthritidis	Mycoplasma_gallisepticum	Mycoplasma_genitalium	Mycoplasma_haemocanis	Mycoplasma_hyopneumoniae
(null)	OG0000007	1	28	0	0	0	0
(null)	OG0000013	3	1	10	0	0	3
(null)	OG0000014	0	0	0	1	15	0
(null)	OG0000016	1	1	8	3	1	1
(null)	OG0000017	0	0	1	1	1	11
(null)	OG0000018	3	6	3	0	1	1
(null)	OG0000020	9	2	0	0	0	1
(null)	OG0000021	0	0	7	0	0	5
(null)	OG0000022	4	2	3	2	0	0
(null)	OG0000023	5	0	2	3	0	1
(null)	OG0000024	3	3	1	2	1	1
(null)	OG0000025	1	1	3	2	2	1
(null)	OG0000026	2	1	2	2	1	1
(null)	OG0000027	1	1	1	1	4	1
(null)	OG0000028	0	0	1	0	0	8
(null)	OG0000030	1	1	1	2	2	1
(null)	OG0000031	2	1	2	1	1	1
(null)	OG0000032	1	0	3	3	0	1
(null)	OG0000033	4	1	1	1	0	1
(null)	OG0000034	2	2	1	1	1	1
(null)	OG0000035	1	2	2	2	0	1
(null)	OG0000036	1	2	2	1	1	1
(null)	OG0000039	1	1	1	2	1	1
(null)	OG0000040	1	1	1	1	2	1
(null)	OG0000041	1	1	2	1	1	1
(null)	OG0000042	1	1	1	1	2	1
(null)	OG0000043	1	1	2	1	1	1
(null)	OG0000044	1	2	2	1	0	1
(null)	OG0000045	2	2	1	1	0	1
(null)	OG0000046	1	2	1	1	1	1
(null)	OG0000047	1	1	2	1	1	1
(null)	OG0000048	3	0	3	0	0	1
(null)	OG0000049	1	2	1	1	1	1
(null)	OG0000050	1	1	1	1	2	1
(null)	OG0000051	2	1	2	2	0	0
(null)	OG0000052	1	1	1	1	2	1
(null)	OG0000053	1	1	2	2	0	1
(null)	OG0000054	2	1	1	1	1	1
(null)	OG0000055	2	2	1	1	0	1
(null)	OG0000056	1	1	1	2	0	2
(null)	OG0000057	1	1	1	2	1	1
(null)	OG0000058	1	1	1	1	2	1
(null)	OG0000059	1	1	1	2	1	1
(null)	OG0000060	0	0	5	2	0	0
(null)	OG0000063	1	1	1	1	1	1
(null)	OG0000064	2	1	2	0	0	1
(null)	OG0000065	1	1	1	1	1	1
(null)	OG0000066	1	1	1	1	1	1
(null)	OG0000067	1	1	1	1	1	1
(null)	OG0000068	1	1	1	1	1	1
(null)	OG0000069	1	1	1	1	1	1
(null)	OG0000070	1	1	1	1	1	1
(null)	OG0000071	1	1	1	1	1	1
(null)	OG0000072	1	1	1	1	1	1
(null)	OG0000073	1	1	1	1	1	1
(null)	OG0000074	1	1	1	1	1	1
(null)	OG0000075	1	1	1	1	1	1
(null)	OG0000076	1	1	1	1	1	1
(null)	OG0000077	1	1	1	1	1	1
(null)	OG0000078	2	1	2	1	0	0
(null)	OG0000079	1	1	1	1	1	1
(null)	OG0000080	1	1	1	1	1	1
(null)	OG0000081	1	1	1	1	1	1
(null)	OG0000082	1	1	1	1	1	1
(null)	OG0000083	1	1	1	1	1	1
(null)	OG0000084	1	1	1	1	1	1
(null)	OG0000085	1	1	1	1	1	1
(null)	OG0000086	1	1	1	1	1	1
(null)	OG0000087	1	1	1	1	1	1
(null)	OG0000088	1	1	1	1	1	1
(null)	OG0000089	1	1	1	1	1	1
(null)	OG0000090	1	1	1	1	1	1
(null)	OG0000091	1	1	1	1	1	1
(null)	OG0000092	1	1	1	1	1	1
(null)	OG0000093	1	1	1	1	1	1
(null)	OG0000094	1	1	1	1	1	1
(null)	OG0000095	1	1	1	1	1	1
(null)	OG0000096	1	0	2	1	1	1
(null)	OG0000097	1	1	1	1	1	1
(null)	OG0000098	1	1	1	1	1	1
(null)	OG0000099	1	1	1	1	1	1
(null)	OG0000100	1	1	1	1	1	1
(null)	OG0000101	1	1	1	1	1	1
(null)	OG0000102	2	1	1	1	0	1
(null)	OG0000103	1	1	1	1	1	1
(null)	OG0000104	1	1	1	1	1	1
(null)	OG0000105	1	1	1	1	1	1
(null)	OG0000106	1	1	1	1	1	1
(null)	OG0000107	1	1	1	1	1	1
(null)	OG0000108	1	1	1	1	1	1
(null)	OG0000109	1	0	4	1	0	0
(null)	OG0000110	1	1	2	0	1	1
(null)	OG0000111	1	1	1	1	1	1
(null)	OG0000112	1	1	1	1	1	1
(null)	OG0000113	1	1	1	1	1	1
(null)	OG0000114	1	1	1	1	1	1
(null)	OG0000115	1	1	1	1	1	1
(null)	OG0000116	1	1	1	1	1	1
(null)	OG0000117	1	1	1	1	0	2
(null)	OG0000118	1	1	1	1	1	1
(null)	OG0000119	1	1	1	1	1	1
(null)	OG0000120	1	1	1	1	1	1
(null)	OG0000121	1	1	1	1	1	1
(null)	OG0000122	1	1	1	1	1	1
(null)	OG0000123	1	1	1	1	1	1
(null)	OG0000124	1	1	1	1	1	1
(null)	OG0000125	1	1	1	1	1	1
(null)	OG0000126	1	1	1	1	1	1
(null)	OG0000127	1	1	1	1	1	1
(null)	OG0000128	1	1	1	1	1	1
(null)	OG0000129	4	0	0	1	0	1
(null)	OG0000131	1	2	2	0	0	1
(null)	OG0000132	1	1	1	1	1	1
(null)	OG0000133	1	1	1	1	1	1
(null)	OG0000134	1	1	1	1	1	1
(null)	OG0000135	1	1	1	1	1	1
(null)	OG0000136	1	1	1	1	1	1
(null)	OG0000137	1	1	1	1	1	1
(null)	OG0000138	1	1	1	1	1	1
(null)	OG0000139	1	1	1	1	1	1
(null)	OG0000140	1	1	1	1	1	1
(null)	OG0000141	1	1	1	1	1	1
(null)	OG0000142	1	1	1	1	1	1
(null)	OG0000143	1	1	1	1	1	1
(null)	OG0000144	1	1	1	1	1	1
(null)	OG0000145	1	1	1	1	1	1
(null)	OG0000146	1	1	1	1	1	1
(null)	OG0000147	1	1	1	1	1	1
(null)	OG0000148	1	1	1	1	1	1
(null)	OG0000149	1	1	1	1	1	1
(null)	OG0000150	1	1	1	1	1	1
(null)	OG0000151	1	1	1	1	1	1
(null)	OG0000152	1	1	1	1	1	1
(null)	OG0000153	1	1	1	1	1	1
(null)	OG0000154	1	1	1	1	1	1
(null)	OG0000155	1	1	1	1	1	1
(null)	OG0000156	1	1	1	1	1	1
(null)	OG0000157	1	1	1	1	1	1
(null)	OG0000158	1	1	1	1	1	1
(null)	OG0000159	1	1	1	1	1	1
(null)	OG0000160	1	1	1	1	1	1
(null)	OG0000161	1	1	1	1	1	1
(null)	OG0000162	1	1	1	1	1	1
(null)	OG0000163	1	1	1	1	1	1
(null)	OG0000164	1	1	1	1	1	1
(null)	OG0000165	1	1	1	1	1	1
(null)	OG0000166	1	1	1	1	1	1
(null)	OG0000167	1	1	1	1	1	1
(null)	OG0000168	1	1	1	1	1	1
(null)	OG0000169	1	1	1	1	1	1
(null)	OG0000170	1	1	1	1	1	1
(null)	OG0000171	1	1	1	1	1	1
(null)	OG0000172	1	1	1	1	1	1
(null)	OG0000173	1	1	1	1	1	1
(null)	OG0000174	1	1	1	1	1	1
(null)	OG0000175	1	1	1	1	1	1
(null)	OG0000176	1	1	1	1	1	1
(null)	OG0000177	1	1	1	1	1	1
(null)	OG0000178	1	1	1	1	1	1
(null)	OG0000179	1	1	1	1	1	1
(null)	OG0000180	1	1	1	1	1	1
(null)	OG0000181	1	1	1	1	1	1
(null)	OG0000182	1	1	1	1	1	1
(null)	OG0000183	1	1	1	1	1	1
(null)	OG0000184	1	1	1	1	1	1
(null)	OG0000185	1	1	1	1	1	1
(null)	OG0000186	1	1	1	1	1	1
(null)	OG0000187	1	1	1	1	1	1
(null)	OG0000188	1	1	1	1	1	1
(null)	OG0000189	1	1	1	1	1	1
(null)	OG0000190	1	1	1	1	1	1
(null)	OG0000191	1	1	1	1	1	1
(null)	OG0000192	1	1	1	1	1	1
(null)	OG0000193	1	1	1	1	1	1
(null)	OG0000194	1	1	1	1	1	1
(null)	OG0000195	1	1	1	1	1	1
(null)	OG0000196	1	1	1	1	1	1
(null)	OG0000197	1	1	1	1	1	1
(null)	OG0000198	1	1	1	1	1	1
(null)	OG0000199	1	1	1	1	1	1
(null)	OG0000200	1	1	1	1	1	1
(null)	OG0000201	1	1	1	1	1	1
(null)	OG0000202	1	1	1	1	1	1
(null)	OG0000203	1	1	1	1	1	1
(null)	OG0000204	1	1	1	1	1	1
(null)	OG0000205	1	1	1	1	1	1
(null)	OG0000206	2	1	1	0	2	0
(null)	OG0000207	1	1	1	1	1	1
(null)	OG0000208	1	1	1	1	1	1
(null)	OG0000209	1	1	1	1	1	1
(null)	OG0000210	1	1	1	1	1	1
(null)	OG0000211	2	4	0	0	0	0
(null)	OG0000212	1	1	1	1	1	1
(null)	OG0000213	1	1	1	1	1	1
(null)	OG0000214	1	1	1	1	1	1
(null)	OG0000215	1	1	1	1	1	1
(null)	OG0000216	1	1	1	1	1	1
(null)	OG0000217	1	1	1	1	1	1
(null)	OG0000218	1	1	1	1	1	1
(null)	OG0000219	1	1	1	1	1	1
(null)	OG0000220	1	1	1	1	1	1
(null)	OG0000221	1	1	1	1	1	1
(null)	OG0000222	1	1	1	1	1	1
(null)	OG0000223	1	1	1	1	1	1
(null)	OG0000224	1	1	1	1	1	1
(null)	OG0000225	1	1	1	1	1	1
(null)	OG0000226	1	1	1	1	1	1
(null)	OG0000227	1	1	1	1	1	1
(null)	OG0000228	1	1	1	1	1	1
(null)	OG0000229	1	1	1	1	1	1
(null)	OG0000230	1	1	1	1	1	1
(null)	OG0000231	1	1	1	1	1	1
(null)	OG0000232	1	1	1	1	1	1
